category,categoryLabel,task,oldLabel,newLabel,transition,driver,rationale
finanzen-recht,Finanzen & Recht,Mehrere Vertragsversionen vergleichen,E2,E1,E2->E1,long_context,Lange Dokumente passen heute eher direkt in den Modellkontext.
finanzen-recht,Finanzen & Recht,Mandantenbrief zu Steuerfrage vorbereiten,E1,E1,E1->E1,none,Textarbeit war bereits direkt exponiert.
finanzen-recht,Finanzen & Recht,Belege klassifizieren und Rueckfragen formulieren,E2,E1,E2->E1,agentic_tools,Dokumenten- und Workflowtools reduzieren Tool-Reibung.
finanzen-recht,Finanzen & Recht,Gerichtsstrategie festlegen,E0,E0,E0->E0,cap,Verantwortung und Urteil bleiben ausserhalb.
finanzen-recht,Finanzen & Recht,Regulatorische Neuerungen recherchieren,E2,E1,E2->E1,agentic_tools,Rechercheagenten und Quellenarbeit sind reifer.
finanzen-recht,Finanzen & Recht,Kundengespraech fuehren,E0,E0,E0->E0,social,Vertrauen und Haftung bleiben menschlich.
finanzen-recht,Finanzen & Recht,Due-Diligence-Dossier zusammenfassen,E2,E1,E2->E1,long_context,Lange Kontexte senken den Integrationsaufwand.
finanzen-recht,Finanzen & Recht,Standardreport aus Transaktionen entwerfen,E1,E1,E1->E1,none,Bereits text- und datenbasiert exponiert.
it-tech,IT & Technologie,Bug in grosser Codebasis lokalisieren,E2,E1,E2->E1,long_context,Repository-Kontext und Coding-Agenten machen die Aufgabe direkter erreichbar.
it-tech,IT & Technologie,Unit-Tests fuer Modul schreiben,E1,E1,E1->E1,none,Bereits direkt durch LLMs unterstuetzbar.
it-tech,IT & Technologie,Deployment-Runbook ausfuehren,E2,E2,E2->E2,agentic_tools,"Tool-Use reduziert Reibung, aber Produktivsysteme, Berechtigungen und Change-Freigaben bleiben begrenzend."
it-tech,IT & Technologie,Physischen Server tauschen,E0,E0,E0->E0,physical,Physische Arbeit bleibt ausser Scope.
it-tech,IT & Technologie,Security Findings priorisieren,E2,E2,E2->E2,agentic_tools,"Codeanalyse und Triageagenten sind staerker, aber Angriffskontext, Haftung und False Positives verhindern eine direkte Einstufung."
it-tech,IT & Technologie,Architekturentscheidung verantworten,E0,E0,E0->E0,long_context,"KI kann Optionen vorbereiten, aber Systemverantwortung, Trade-offs und Stakeholder-Kontext bleiben ausserhalb direkter Exposition."
it-tech,IT & Technologie,Datenpipeline dokumentieren,E1,E1,E1->E1,none,Dokumentation war bereits exponiert.
it-tech,IT & Technologie,UI-Prototyp aus Briefing erstellen,E2,E1,E2->E1,multimodal,"Text-, Bild- und Codegenerierung wachsen zusammen."
gesundheit,Gesundheit & Pflege,Arztbrief aus Notizen entwerfen,E1,E1,E1->E1,none,Dokumentation war bereits exponiert.
gesundheit,Gesundheit & Pflege,Befundbild sprachlich einordnen,E2,E2,E2->E2,multimodal,"Multimodalitaet hilft, bleibt wegen Verantwortung aber Tool-gestuetzt."
gesundheit,Gesundheit & Pflege,Patienten koerperlich untersuchen,E0,E0,E0->E0,physical,Physische Untersuchung und Verantwortung bleiben menschlich.
gesundheit,Gesundheit & Pflege,Fachliteratur zu Therapieoptionen zusammenfassen,E2,E1,E2->E1,long_context,Lange Kontexte verbessern Literaturarbeit.
gesundheit,Gesundheit & Pflege,Pflegedokumentation strukturieren,E1,E1,E1->E1,none,Text- und Formulararbeit bereits exponiert.
gesundheit,Gesundheit & Pflege,Medikationsinteraktion vorpruefen,E2,E2,E2->E2,agentic_tools,"Vorpruefung moeglich, finale Entscheidung reguliert."
gesundheit,Gesundheit & Pflege,Notfalleinsatz durchfuehren,E0,E0,E0->E0,physical,Zeitkritische physische Handlung bleibt ausser Scope.
gesundheit,Gesundheit & Pflege,Patientenkommunikation empathisch fuehren,E0,E0,E0->E0,social,Beziehungsarbeit begrenzt.
bildung,Bildung & Forschung,Unterrichtsmaterial differenziert erstellen,E1,E1,E1->E1,none,Direkte Text- und Materialarbeit.
bildung,Bildung & Forschung,Schuelerarbeiten vorstrukturieren und Feedback entwerfen,E2,E1,E2->E1,agentic_tools,Workflownahe KI reduziert Aufwand.
bildung,Bildung & Forschung,Klassenfuehrung im Unterricht,E0,E0,E0->E0,social,Praesenz und Beziehung bleiben zentral.
bildung,Bildung & Forschung,Forschungsstand aus vielen PDFs synthetisieren,E2,E1,E2->E1,long_context,Long Context reduziert Recherchefriktion.
bildung,Bildung & Forschung,Pruefung rechtsgueltig bewerten,E0,E2,E0->E2,agentic_tools,"Assistenz moeglich, Verantwortung bleibt menschlich."
bildung,Bildung & Forschung,Lernvideo und Quiz aus Thema erstellen,E2,E1,E2->E1,multimodal,Multimodale Erstellung ist deutlich naeher an direkt.
bildung,Bildung & Forschung,Elterngespraech fuehren,E0,E0,E0->E0,social,Beziehung und Kontext begrenzen.
bildung,Bildung & Forschung,Vorlesungsskript aktualisieren,E1,E1,E1->E1,none,Textarbeit bereits exponiert.
handwerk-bau,Handwerk & Bau,Offerte aus Kundenangaben formulieren,E1,E1,E1->E1,none,Text- und Kalkulationsvorbereitung.
handwerk-bau,Handwerk & Bau,Baustellenfoto beschreiben,E2,E2,E2->E2,multimodal,"Bildanalyse hilft, ersetzt Vor-Ort-Pruefung nicht."
handwerk-bau,Handwerk & Bau,Leitung installieren,E0,E0,E0->E0,physical,Physische Ausfuehrung bleibt ausser Scope.
